"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item"
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","38AA","Color","Black","Style","Black","BRA035BL38AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376418784",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","38B","Color","Black","Style","Black","ZGW01BL38B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404251",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","38B","Color","Black","Style","Black","BRA035BL38B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376418791",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","40AA","Color","Black","Style","Black","ZGW01BL40AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404275",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","40AA","Color","Black","Style","Black","BRA035BL40AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376418814",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","40A","Color","Black","Style","Black","ZGW01BL40A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404268",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","40A","Color","Black","Style","Black","BRA035BL40A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376418807",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","40B","Color","Black","Style","Black","ZGW01BL40B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404282",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","40B","Color","Black","Style","Black","BRA035BL40B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376418821",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","42A","Color","Black","Style","Black","ZGW01BL42A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404299",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-black",,,,,,,"Size","42A","Color","Black","Style","Black","BRA035BL42A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376418838",,,,,,"lb","PC040152",
